# File Name: D:\OllieE\RT-qPCR\OE_RT-qPCR_ADH_HB_PCB_15.04.2026_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272533378
# Instrument Serial Number: 272533378
# Heated Cover Serial Number:
# Block serial number: 22252916
# Run Start Date/Time: 2026-04-15 07:55:49 PM BST
# Run End Data/Time: 2026-04-15 08:50:20 PM BST
# Run Duration: 54 minutes 31 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2026-04-15 03:14:52 PM BST
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2026-04-15 03:17:20 PM BST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"32","B8","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","88.6868667602539","92.72097778320312","81.17892456054688","84.20451354980469","","","","","FALSE"
"33","B9","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","INCONCLUSIVE","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.72615814208984","86.46318817138672","89.04219055175781","64.14913940429688","","","","","FALSE"
"34","B10","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.83828735351562","90.05137634277344","63.252098083496094","87.92088317871094","","","","","FALSE"
"35","B11","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","INCONCLUSIVE","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.83828735351562","63.700618743896484","66.39176177978516","","","","","","FALSE"
"36","B12","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.83828735351562","88.59367370605469","84.44483184814453","","","","","","FALSE"
"37","B13","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","90.81890106201172","85.88784790039062","76.13780212402344","83.08610534667969","","","","","FALSE"
"38","B14","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","91.04304504394531","88.01716613769531","82.1895523071289","70.1981201171875","","","","","FALSE"
"39","B15","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.71540069580078","89.13786315917969","86.7844009399414","93.284423828125","","","","","FALSE"
"40","B16","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.60333251953125","87.3447494506836","67.84466552734375","75.57745361328125","","","","","FALSE"
"41","B17","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","66.16514587402344","78.15974426269531","92.95681762695312","68.6313247680664","","","","","FALSE"
