# File Name: D:\OllieE\RT-qPCR\OE_RT-qPCR_ADH_HB_PCB_15.04.2026_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272533378
# Instrument Serial Number: 272533378
# Heated Cover Serial Number:
# Block serial number: 22252916
# Run Start Date/Time: 2026-04-15 07:55:49 PM BST
# Run End Data/Time: 2026-04-15 08:50:20 PM BST
# Run Duration: 54 minutes 31 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2026-04-15 03:14:52 PM BST
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2026-04-15 03:17:20 PM BST
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"17","A17","Sample 1","Target 1","64.93205261230469","666.7630004882812"
"17","A17","Sample 1","Target 1","82.41950988769531","551.9243774414062"
"17","A17","Sample 1","Target 1","89.25755310058594","773.643798828125"
"18","A18","Sample 1","Target 1","73.67578125","1191.6678466796875"
"18","A18","Sample 1","Target 1","79.50492858886719","1015.919921875"
"18","A18","Sample 1","Target 1","70.5370101928711","389.3382568359375"
"18","A18","Sample 1","Target 1","62.80217361450195","1137.58837890625"
"18","A18","Sample 1","Target 1","82.53160858154297","643.6439208984375"
"19","A19","Sample 1","Target 1","84.77359008789062","1718.585693359375"
"19","A19","Sample 1","Target 1","80.62592315673828","1713.1103515625"
"19","A19","Sample 1","Target 1","90.82693481445312","1349.406494140625"
"19","A19","Sample 1","Target 1","63.026371002197266","724.5311889648438"
"19","A19","Sample 1","Target 1","66.05304718017578","1252.4285888671875"
"20","A20","Sample 1","Target 1","70.20071411132812","1320.5474853515625"
"20","A20","Sample 1","Target 1","76.70245361328125","1413.57275390625"
"20","A20","Sample 1","Target 1","66.5014419555664","1024.7288818359375"
"20","A20","Sample 1","Target 1","79.95333099365234","1051.2327880859375"
"20","A20","Sample 1","Target 1","63.811065673828125","682.574462890625"
"21","A21","Sample 1","Target 1","75.02070617675781","1130.3826904296875"
"21","A21","Sample 1","Target 1","77.37474822998047","871.4055786132812"
"21","A21","Sample 1","Target 1","85.5578384399414","1230.6627197265625"
"21","A21","Sample 1","Target 1","67.17391204833984","1217.53955078125"
"21","A21","Sample 1","Target 1","61.793251037597656","781.4805297851562"
"22","A22","Sample 1","Target 1","92.0594711303711","1859.488525390625"
"22","A22","Sample 1","Target 1","62.69002914428711","1295.70947265625"
"22","A22","Sample 1","Target 1","72.77877044677734","422.57672119140625"
"22","A22","Sample 1","Target 1","89.48123931884766","207.49850463867188"
"22","A22","Sample 1","Target 1","75.24490356445312","1025.2166748046875"
"23","A23","Sample 1","Target 1","63.36260986328125","1225.1573486328125"
"23","A23","Sample 1","Target 1","70.20053100585938","1230.7213134765625"
"23","A23","Sample 1","Target 1","80.96185302734375","1252.3106689453125"
"23","A23","Sample 1","Target 1","66.1650390625","749.5196533203125"
"23","A23","Sample 1","Target 1","85.78203582763672","823.2846069335938"
"24","A24","Sample 1","Target 1","62.8021240234375","1680.70751953125"
"24","A24","Sample 1","Target 1","70.53682708740234","1820.066650390625"
"24","A24","Sample 1","Target 1","82.643310546875","1486.5662841796875"
"24","A24","Sample 1","Target 1","90.71430969238281","1385.9735107421875"
"24","A24","Sample 1","Target 1","79.95298767089844","1048.2557373046875"
"25","B1","Sample 1","PDC1","78.4970932006836","5483.20166015625"
"25","B1","Sample 1","PDC1","86.56859588623047","-190.335693359375"
"25","B1","Sample 1","PDC1","90.26803588867188","-391.3270263671875"
"25","B1","Sample 1","PDC1","84.32650756835938","-213.6260986328125"
"25","B1","Sample 1","PDC1","72.77977752685547","2027.496337890625"
"26","B2","Sample 1","PDC1","78.83340454101562","6867.05126953125"
"26","B2","Sample 1","PDC1","92.06169891357422","-103.2891845703125"
"26","B2","Sample 1","PDC1","63.13882064819336","3661.87548828125"
"26","B2","Sample 1","PDC1","66.05352783203125","3582.236328125"
"26","B2","Sample 1","PDC1","88.69857788085938","9.19970703125"
"27","B3","Sample 1","PDC1","78.83340454101562","4252.88037109375"
"27","B3","Sample 1","PDC1","82.98126220703125","332.4697265625"
"27","B3","Sample 1","PDC1","63.13882064819336","3613.05078125"
"27","B3","Sample 1","PDC1","66.05352783203125","2883.6240234375"
"27","B3","Sample 1","PDC1","85.33544921875","92.294189453125"
"28","B4","Sample 1","PDC1","78.83340454101562","3140.95068359375"
"28","B4","Sample 1","PDC1","92.62222290039062","-118.975341796875"
"28","B4","Sample 1","PDC1","71.09822082519531","1543.1104736328125"
"28","B4","Sample 1","PDC1","84.10230255126953","-83.7159423828125"
"28","B4","Sample 1","PDC1","75.80659484863281","1226.296142578125"
"29","B5","Sample 1","PDC1","78.60157012939453","4509.7216796875"
"29","B5","Sample 1","PDC1","63.473628997802734","2943.725830078125"
"29","B5","Sample 1","PDC1","72.4383316040039","1830.7786865234375"
"29","B5","Sample 1","PDC1","91.60039520263672","-99.5321044921875"
"29","B5","Sample 1","PDC1","82.63568878173828","291.64630126953125"
"30","B6","Sample 1","PDC1","78.82568359375","5069.755859375"
"30","B6","Sample 1","PDC1","86.22157287597656","548.5571899414062"
"30","B6","Sample 1","PDC1","89.24716186523438","-288.1927490234375"
"30","B6","Sample 1","PDC1","63.8098030090332","2953.77001953125"
"30","B6","Sample 1","PDC1","61.568626403808594","2890.2021484375"
"31","B7","Sample 1","PDC1","79.49803924560547","1130.3773193359375"
"31","B7","Sample 1","PDC1","89.24716186523438","227.09384155273438"
"31","B7","Sample 1","PDC1","93.28128051757812","208.52706909179688"
