# File Name: D:\OllieE\RT-qPCR\OE_RT-qPCR_PpPCO_ADH_17.04.2026.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272533378
# Instrument Serial Number: 272533378
# Heated Cover Serial Number:
# Block serial number: 22252916
# Run Start Date/Time: 2026-04-17 08:50:15 PM BST
# Run End Data/Time: 2026-04-17 09:44:12 PM BST
# Run Duration: 53 minutes 57 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2026-04-17 02:48:54 PM BST
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2026-04-17 04:49:37 PM BST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"61","C13","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","84.55494689941406","64.26042175292969","91.28241729736328","93.97340393066406","","","","","FALSE"
"62","C14","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","84.44282531738281","88.815673828125","91.61878967285156","64.70892333984375","","","","","FALSE"
"63","C15","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","88.36717987060547","91.61878967285156","78.27598571777344","70.76364135742188","","","","","FALSE"
"64","C16","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","84.33070373535156","63.587677001953125","91.05816650390625","75.92137145996094","","","","","FALSE"
"65","C17","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","81.30616760253906","63.02763366699219","78.83912658691406","67.28888702392578","","","","","FALSE"
"66","C18","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","91.1743392944336","67.62530517578125","64.03688049316406","87.02522277832031","","","","","FALSE"
"67","C19","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","70.09234619140625","78.72698974609375","75.69925689697266","80.7454833984375","","","","","FALSE"
"68","C20","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","86.12811279296875","79.17554473876953","90.16510009765625","82.31541442871094","","","","","FALSE"
"69","C21","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","85.90616607666016","88.48556518554688","72.22412109375","69.42042541503906","","","","","FALSE"
"70","C22","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","91.962158203125","61.682220458984375","74.01848602294922","82.20528411865234","","","","","FALSE"
"71","C23","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","73.68204498291016","91.40141296386719","86.8033447265625","78.72869873046875","","","","","FALSE"
"72","C24","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","89.83134460449219","62.242958068847656","74.1306381225586","86.46690368652344","","","","","FALSE"
"73","D1","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","84.99905395507812","77.71221160888672","69.97695922851562","91.16483306884766","","","","","FALSE"
"74","D2","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","INCONCLUSIVE","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","85.22325897216797","75.80642700195312","63.362754821777344","65.82907104492188","","","","","FALSE"
"75","D3","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","87.0169448852539","79.61800384521484","65.15643310546875","74.12484741210938","","","","","FALSE"
"76","D4","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","84.77484130859375","81.1874771118164","71.434326171875","78.04853057861328","","","","","FALSE"
"77","D5","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","89.26130676269531","75.247314453125","78.4985580444336","84.10415649414062","","","","","FALSE"
"78","D6","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","84.10415649414062","87.69173431396484","91.61564636230469","70.20227813720703","","","","","FALSE"
"79","D7","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","80.06813049316406","91.72776794433594","85.56160736083984","77.48955535888672","","","","","FALSE"
"80","D8","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","84.55260467529297","87.2432861328125","80.96501922607422","78.05010986328125","","","","","FALSE"
"81","D9","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","85.1296157836914","89.72919464111328","92.197265625","71.89179992675781","","","","","FALSE"
"82","D10","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","78.28633880615234","88.04642486572266","85.2417984008789","90.51448822021484","","","","","FALSE"
"83","D11","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","85.01742553710938","","","","","","","","FALSE"
"84","D12","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","85.01742553710938","","","","","","","","FALSE"
"85","D13","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","75.24861907958984","65.83016967773438","78.61235046386719","91.1702880859375","","","","","FALSE"
"86","D14","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","70.09089660644531","62.130062103271484","87.1338119506836","76.14561462402344","","","","","FALSE"
"87","D15","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","84.7791976928711","69.86664581298828","61.68156433105469","64.26042175292969","","","","","FALSE"
"88","D16","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.61235046386719","85.22769165039062","65.60591888427734","75.47286987304688","","","","","FALSE"
"89","D17","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","66.27964782714844","70.54090118408203","83.99748992919922","74.35359954833984","","","","","FALSE"
"90","D18","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","84.446044921875","81.08189392089844","88.93157196044922","63.924739837646484","","","","","FALSE"
"91","D19","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","91.39862060546875","78.16629791259766","80.85762023925781","85.0067367553711","","","","","FALSE"
"92","D20","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","67.51316833496094","62.57908248901367","70.09234619140625","84.89459228515625","","","","","FALSE"
"93","D21","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","75.02781677246094","92.07430267333984","71.4390869140625","68.29894256591797","","","","","FALSE"
"94","D22","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","61.682220458984375","66.95317077636719","89.83134460449219","92.4107437133789","","","","","FALSE"
"95","D23","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","90.27993774414062","69.75686645507812","74.9156723022461","82.20528411865234","","","","","FALSE"
"96","D24","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","74.46707916259766","85.34542846679688","78.16796112060547","62.467254638671875","","","","","FALSE"
"97","E1","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","74.90958404541016","86.56851959228516","62.465911865234375","66.38959503173828","","","","","FALSE"
"98","E2","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","64.70801544189453","79.84220886230469","91.38904571533203","86.34431457519531","","","","","FALSE"
